,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances
Round,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
TeamName,,,,,,,
Gonzaga,100.0,98.52,90.85,79.78,63.910000000000004,45.760000000000005,33.09
Duke,99.99999999999999,98.44999999999999,84.1,67.14,50.33,26.08,16.39
Virginia,99.99999999999999,97.07999999999998,85.14999999999999,69.1,48.11,30.69,14.89
North Carolina,100.0,96.89,79.65,59.33000000000001,39.93000000000001,23.78,11.1
Tennessee,100.0,90.78,68.09,45.15,21.91,11.28,3.7900000000000005
Michigan St,99.99999999999999,94.19999999999999,70.77,52.5,23.36,8.239999999999998,3.5999999999999996
Houston,100.0,90.71000000000001,67.39,40.44,20.299999999999997,9.379999999999999,3.42
Kentucky,100.0,89.8,63.02,34.36,15.990000000000002,6.87,2.17
Texas Tech,100.0,86.2,56.47,30.6,9.740000000000002,4.140000000000001,1.83
Michigan,100.0,87.13,57.05,32.67,10.39,4.49,1.7999999999999998
Purdue,100.0,85.54,55.980000000000004,26.89,11.07,4.9,1.4000000000000001
Virginia Tech,99.99999999999999,85.69999999999999,58.67999999999999,18.439999999999998,8.91,2.42,0.8500000000000001
Auburn,100.0,71.34,42.72,16.43,7.4799999999999995,2.88,0.8200000000000001
Nevada,100.0,71.41,32.519999999999996,16.47,4.41,1.71,0.6
Buffalo,100.0,77.78999999999999,35.8,16.29,4.39,1.6099999999999999,0.54
Kansas,100.0,77.83,41.42,13.93,5.3100000000000005,1.6800000000000002,0.49
Wisconsin,100.0,66.3,41.97,12.899999999999999,5.31,1.78,0.45999999999999996
Florida St,100.0,74.78,44.739999999999995,8.52,3.42,1.08,0.38
LSU,99.99999999999999,78.44999999999999,51.129999999999995,19.61,6.04,1.36,0.32
Marquette,100.0,61.4,32.25,5.949999999999999,2.13,0.73,0.27999999999999997
Louisville,100.0,76.68,24.76,13.74,3.8200000000000003,0.85,0.27
Villanova,100.0,58.150000000000006,26.090000000000003,10.240000000000002,3.58,1.13,0.26
Wofford,100.0,71.39,28.62,12.07,4.24,1.24,0.22
Iowa St,100.0,67.94,23.86,9.67,3.3200000000000003,0.97,0.19
Cincinnati,100.0,65.95,22.740000000000002,10.25,3.13,1.01,0.18
Mississippi St,100.0,71.71,31.23,7.07,2.6799999999999997,0.54,0.16
Kansas St,100.0,71.32,35.32,8.96,3.0,0.93,0.11
Utah St,100.0,58.34,12.85,5.26,1.77,0.47,0.11
Maryland,100.0,61.31999999999999,27.709999999999997,8.809999999999999,1.9500000000000002,0.25,0.06
VCU,100.0,57.3,9.850000000000001,4.45,1.58,0.23,0.04
St Mary's CA,100.0,41.85,14.54,4.42,1.1099999999999999,0.32999999999999996,0.03
Mississippi,100.0,50.160000000000004,7.390000000000001,2.81,0.79,0.12,0.03
Oklahoma,100.0,49.839999999999996,6.9,2.3200000000000003,0.54,0.11,0.02
Syracuse,100.0,54.65,5.19,2.0300000000000002,0.44999999999999996,0.09,0.02
Yale,100.0,21.549999999999997,7.4399999999999995,1.27,0.14,0.03,0.02
Murray St,100.0,38.6,15.32,1.87,0.32,0.09999999999999999,0.01
UCF,100.0,42.7,5.949999999999999,1.8900000000000001,0.49,0.09,0.01
Baylor,100.0,45.35,3.74,1.28,0.37,0.07999999999999999,0.01
UC Irvine,100.0,28.68,7.819999999999999,1.0999999999999999,0.18,0.03,0.01
Liberty,100.0,28.29,6.720000000000001,0.61,0.12,0.01,0.01
Montana,100.0,12.870000000000001,2.92,0.45999999999999996,0.04,0.01,0.01
Oregon,100.0,33.7,14.89,2.71,0.69,0.11,0.0
New Mexico St,100.0,28.66,10.52,2.1799999999999997,0.49999999999999994,0.11,0.0
Ohio St,100.0,32.06,6.35,1.41,0.29,0.06,0.0
Iowa,100.0,34.050000000000004,6.99,2.12,0.43,0.05,0.0
Belmont,65.5,28.39,11.07,2.53,0.32,0.05,0.0
Washington,100.0,41.66,7.209999999999999,2.2399999999999998,0.49999999999999994,0.04,0.0
Minnesota,100.0,23.32,3.5300000000000002,1.02,0.13,0.02,0.0
Florida,100.0,28.59,7.510000000000001,2.12,0.27,0.01,0.0
Seton Hall,100.0,28.61,6.199999999999999,1.4,0.17,0.01,0.0
Northeastern,100.0,22.17,5.34,0.62,0.09999999999999999,0.01,0.0
Old Dominion,100.0,14.46,3.39,0.5199999999999999,0.06999999999999999,0.01,0.0
Colgate,100.0,9.22,2.18,0.41,0.06999999999999999,0.01,0.0
Georgia St,100.00000000000001,9.290000000000001,2.4,0.32,0.060000000000000005,0.01,0.0
N Kentucky,100.0,13.8,3.29,0.56,0.04,0.01,0.0
St Louis,100.0,14.3,3.37,0.39,0.04,0.01,0.0
Vermont,100.0,25.22,7.6899999999999995,0.54,0.1,0.0,0.0
Temple,34.5,10.29,2.65,0.39,0.06999999999999999,0.0,0.0
Abilene Chr,100.0,10.2,2.16,0.32999999999999996,0.04,0.0,0.0
Bradley,99.99999999999999,5.799999999999999,0.94,0.13,0.02,0.0,0.0
Arizona St,48.230000000000004,10.84,2.2600000000000002,0.45,0.01,0.0,0.0
St John's,51.77,11.37,2.1799999999999997,0.38,0.01,0.0,0.0
Gardner Webb,100.0,2.92,0.5599999999999999,0.09999999999999999,0.01,0.0,0.0
Prairie View,47.22,0.75,0.12000000000000001,0.02,0.0,0.0,0.0
Iona,100.0,3.11,0.29,0.01,0.0,0.0,0.0
N Dakota St,64.36,1.11,0.09999999999999999,0.01,0.0,0.0,0.0
F Dickinson,52.779999999999994,0.73,0.09999999999999999,0.01,0.0,0.0,0.0
NC Central,35.63999999999999,0.44,0.0,0.0,0.0,0.0,0.0
